title,year,runtime,genre,director,stars,rating,metascore,votes,gross
Satantango,1994,439,Drama,"['Béla Tarr', 'Mihály Vig', 'Putyi Horváth', 'László feLugossy', 'Éva Almássy Albert']","['Mihály Vig', 'Putyi Horváth', 'László feLugossy', 'Éva Almássy Albert']",8.2,,12009,
The Best of Youth,2003,366,Drama,"['Marco Tullio Giordana', 'Luigi Lo Cascio', 'Alessio Boni', 'Jasmine Trinca', 'Adriana Asti']","['Luigi Lo Cascio', 'Alessio Boni', 'Jasmine Trinca', 'Adriana Asti']",8.5,89,22687,0.27
Gangs of Wasseypur,2012,321,Action,"['Anurag Kashyap', 'Manoj Bajpayee', 'Nawazuddin Siddiqui', 'Tigmanshu Dhulia', 'Richa Chadha']","['Manoj Bajpayee', 'Nawazuddin Siddiqui', 'Tigmanshu Dhulia', 'Richa Chadha']",8.2,89,100132,
1900,1976,317,Drama,"['Bernardo Bertolucci', 'Robert De Niro', 'Gérard Depardieu', 'Dominique Sanda', 'Francesca Bertini']","['Robert De Niro', 'Gérard Depardieu', 'Dominique Sanda', 'Francesca Bertini']",7.7,70,26537,
Gettysburg,1993,271,Drama,"['Ron Maxwell', 'Tom Berenger', 'Martin Sheen', 'Stephen Lang', 'Richard Jordan']","['Tom Berenger', 'Martin Sheen', 'Stephen Lang', 'Richard Jordan']",7.6,,30449,10.77
The Greatest Story Ever Told,1965,260,Biography,"['George Stevens', 'David Lean', 'Jean Negulesco', 'Max von Sydow', 'Dorothy McGuire', 'Charlton Heston', 'Michael Anderson Jr.']","['David Lean', 'Jean Negulesco', 'Max von Sydow', 'Dorothy McGuire', 'Charlton Heston', 'Michael Anderson Jr.']",6.5,,11194,15.47
Kill Bill: The Whole Bloody Affair,2006,247,Action,"['Quentin Tarantino', 'Uma Thurman', 'Lucy Liu', 'Vivica A. Fox', 'Michael Madsen']","['Uma Thurman', 'Lucy Liu', 'Vivica A. Fox', 'Michael Madsen']",8.8,,14589,
Zack Snyder's Justice League,2021,242,Action,"['Zack Snyder', 'Henry Cavill', 'Ben Affleck', 'Gal Gadot', 'Amy Adams']","['Henry Cavill', 'Ben Affleck', 'Gal Gadot', 'Amy Adams']",7.9,54,420622,
Hamlet,1996,242,Drama,"['Kenneth Branagh', 'Kenneth Branagh', 'Julie Christie', 'Derek Jacobi', 'Kate Winslet']","['Kenneth Branagh', 'Julie Christie', 'Derek Jacobi', 'Kate Winslet']",7.7,,39161,4.41
Gone with the Wind,1939,238,Drama,"['Victor Fleming', 'George Cukor', 'Sam Wood', 'Clark Gable', 'Vivien Leigh', 'Thomas Mitchell', ""Barbara O'Neil""]","['George Cukor', 'Sam Wood', 'Clark Gable', 'Vivien Leigh', 'Thomas Mitchell', ""Barbara O'Neil""]",8.2,97,325106,198.68
Love Exposure,2008,237,Action,"['Sion Sono', 'Takahiro Nishijima', 'Hikari Mitsushima', 'Sakura Ando', 'Yutaka Shimizu']","['Takahiro Nishijima', 'Hikari Mitsushima', 'Sakura Ando', 'Yutaka Shimizu']",8,78,15082,
Lagaan: Once Upon a Time in India,2001,224,Drama,"['Ashutosh Gowariker', 'Aamir Khan', 'Raghubir Yadav', 'Gracy Singh', 'Rachel Shelley']","['Aamir Khan', 'Raghubir Yadav', 'Gracy Singh', 'Rachel Shelley']",8.1,84,117686,0.07
The Ten Commandments,1956,220,Adventure,"['Cecil B. DeMille', 'Charlton Heston', 'Yul Brynner', 'Anne Baxter', 'Edward G. Robinson']","['Charlton Heston', 'Yul Brynner', 'Anne Baxter', 'Edward G. Robinson']",7.9,,74814,93.74
Heaven's Gate,1980,219,Adventure,"['Michael Cimino', 'Kris Kristofferson', 'Christopher Walken', 'John Hurt', 'Sam Waterston']","['Kris Kristofferson', 'Christopher Walken', 'John Hurt', 'Sam Waterston']",6.7,57,16322,3.48
Gods and Generals,2003,219,Biography,"['Ron Maxwell', 'Stephen Lang', 'Robert Duvall', 'Jeff Daniels', 'Donzaleigh Abernathy']","['Stephen Lang', 'Robert Duvall', 'Jeff Daniels', 'Donzaleigh Abernathy']",6.2,30,16879,12.87
Mohabbatein,2000,216,Drama,"['Aditya Chopra', 'Amitabh Bachchan', 'Shah Rukh Khan', 'Uday Chopra', 'Jugal Hansraj']","['Amitabh Bachchan', 'Shah Rukh Khan', 'Uday Chopra', 'Jugal Hansraj']",7,,31679,
Jodhaa Akbar,2008,213,Action,"['Ashutosh Gowariker', 'Hrithik Roshan', 'Aishwarya Rai Bachchan', 'Sonu Sood', 'Poonam Sinha']","['Hrithik Roshan', 'Aishwarya Rai Bachchan', 'Sonu Sood', 'Poonam Sinha']",7.5,69,33836,3.44
Ben-Hur,1959,212,Adventure,"['William Wyler', 'Charlton Heston', 'Jack Hawkins', 'Stephen Boyd', 'Haya Harareet']","['Charlton Heston', 'Jack Hawkins', 'Stephen Boyd', 'Haya Harareet']",8.1,90,246906,74.7
It's a Mad Mad Mad Mad World,1963,210,Action,"['Stanley Kramer', 'Spencer Tracy', 'Milton Berle', 'Ethel Merman', 'Mickey Rooney']","['Spencer Tracy', 'Milton Berle', 'Ethel Merman', 'Mickey Rooney']",7.5,59,44296,46.3
Kabhi Khushi Kabhie Gham...,2001,210,Drama,"['Karan Johar', 'Shah Rukh Khan', 'Kajol', 'Amitabh Bachchan', 'Hrithik Roshan']","['Shah Rukh Khan', 'Kajol', 'Amitabh Bachchan', 'Hrithik Roshan']",7.4,,52884,2.9
The Irishman,2019,209,Biography,"['Martin Scorsese', 'Robert De Niro', 'Al Pacino', 'Joe Pesci', 'Harvey Keitel']","['Robert De Niro', 'Al Pacino', 'Joe Pesci', 'Harvey Keitel']",7.8,94,409637,7
Exodus,1960,208,Action,"['Otto Preminger', 'Paul Newman', 'Eva Marie Saint', 'Ralph Richardson', 'Peter Lawford']","['Paul Newman', 'Eva Marie Saint', 'Ralph Richardson', 'Peter Lawford']",6.7,70,10613,18.97
War and Peace,1956,208,Drama,"['King Vidor', 'Audrey Hepburn', 'Henry Fonda', 'Mel Ferrer', 'Vittorio Gassman']","['Audrey Hepburn', 'Henry Fonda', 'Mel Ferrer', 'Vittorio Gassman']",6.7,,10513,12.5
The Message,1976,207,Action,"['Moustapha Akkad', 'Abdallah Gheith', 'Mona Wassef', 'Hamdy Gheith', 'Ali Achmed Taram']","['Abdallah Gheith', 'Mona Wassef', 'Hamdy Gheith', 'Ali Achmed Taram']",8.9,,10007,
Seven Samurai,1954,207,Action,"['Akira Kurosawa', 'Toshirô Mifune', 'Takashi Shimura', 'Keiko Tsushima', 'Yukiko Shimazaki']","['Toshirô Mifune', 'Takashi Shimura', 'Keiko Tsushima', 'Yukiko Shimazaki']",8.6,98,356066,0.27
Hum Aapke Hain Koun..!,1994,206,Comedy,"['Sooraj R. Barjatya', 'Madhuri Dixit', 'Salman Khan', 'Mohnish Behl', 'Renuka Shahane']","['Madhuri Dixit', 'Salman Khan', 'Mohnish Behl', 'Renuka Shahane']",7.5,,21984,
Andrei Rublev,1966,205,Biography,"['Andrei Tarkovsky', 'Anatoliy Solonitsyn', 'Ivan Lapikov', 'Nikolay Grinko', 'Nikolay Sergeev']","['Anatoliy Solonitsyn', 'Ivan Lapikov', 'Nikolay Grinko', 'Nikolay Sergeev']",8.1,,55595,0.1
The Godfather Part II,1974,202,Crime,"['Francis Ford Coppola', 'Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']","['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']",9,90,1315944,57.3
Malcolm X,1992,202,Biography,"['Spike Lee', 'Denzel Washington', 'Angela Bassett', 'Delroy Lindo', 'Spike Lee']","['Denzel Washington', 'Angela Bassett', 'Delroy Lindo', 'Spike Lee']",7.7,73,98919,48.17
"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",1975,202,Drama,"['Chantal Akerman', 'Delphine Seyrig', 'Jan Decorte', 'Henri Storck', 'Jacques Doniol-Valcroze']","['Delphine Seyrig', 'Jan Decorte', 'Henri Storck', 'Jacques Doniol-Valcroze']",7.6,94,12518,0.02
The Lord of the Rings: The Return of the King,2003,201,Action,"['Peter Jackson', 'Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']","['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']",9,94,1905920,377.85
Giant,1956,201,Drama,"['George Stevens', 'Elizabeth Taylor', 'Rock Hudson', 'James Dean', 'Carroll Baker']","['Elizabeth Taylor', 'Rock Hudson', 'James Dean', 'Carroll Baker']",7.6,84,41000,
Ryan's Daughter,1970,200,Drama,"['David Lean', 'Robert Mitchum', 'Trevor Howard', 'John Mills', 'Christopher Jones']","['Robert Mitchum', 'Trevor Howard', 'John Mills', 'Christopher Jones']",7.4,,10273,30.85
Spartacus,1960,197,Adventure,"['Stanley Kubrick', 'Anthony Mann', 'Kirk Douglas', 'Laurence Olivier', 'Jean Simmons', 'Charles Laughton']","['Anthony Mann', 'Kirk Douglas', 'Laurence Olivier', 'Jean Simmons', 'Charles Laughton']",7.9,87,139406,30
Doctor Zhivago,1965,197,Drama,"['David Lean', 'Omar Sharif', 'Julie Christie', 'Geraldine Chaplin', 'Rod Steiger']","['Omar Sharif', 'Julie Christie', 'Geraldine Chaplin', 'Rod Steiger']",7.9,69,79961,111.72
MSG: The Messenger of God,2015,197,Action,"['Jeetu Arora', 'Gurmeet Ram Rahim Singh', 'Gurmeet Ram Rahim Singh', 'Daniel Kaleb', 'Flora Saini', 'Jayshree Soni']","['Gurmeet Ram Rahim Singh', 'Gurmeet Ram Rahim Singh', 'Daniel Kaleb', 'Flora Saini', 'Jayshree Soni']",6,,11328,
Winter Sleep,2014,196,Drama,"['Nuri Bilge Ceylan', 'Haluk Bilginer', 'Melisa Sözen', 'Demet Akbag', 'Ayberk Pekcan']","['Haluk Bilginer', 'Melisa Sözen', 'Demet Akbag', 'Ayberk Pekcan']",8.1,88,53659,0.17
Schindler's List,1993,195,Biography,"['Steven Spielberg', 'Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall']","['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall']",9,95,1399258,96.9
Reds,1981,195,Biography,"['Warren Beatty', 'Warren Beatty', 'Diane Keaton', 'Edward Herrmann', 'Jerzy Kosinski']","['Warren Beatty', 'Diane Keaton', 'Edward Herrmann', 'Jerzy Kosinski']",7.3,76,24030,40.38
The Birth of a Nation,1915,195,Drama,"['D.W. Griffith', 'Lillian Gish', 'Mae Marsh', 'Henry B. Walthall', 'Miriam Cooper']","['Lillian Gish', 'Mae Marsh', 'Henry B. Walthall', 'Miriam Cooper']",6.2,,25674,10
Titanic,1997,194,Drama,"['James Cameron', 'Leonardo DiCaprio', 'Kate Winslet', 'Billy Zane', 'Kathy Bates']","['Leonardo DiCaprio', 'Kate Winslet', 'Billy Zane', 'Kathy Bates']",7.9,75,1240051,659.33
The Right Stuff,1983,193,Adventure,"['Philip Kaufman', 'Sam Shepard', 'Scott Glenn', 'Ed Harris', 'Dennis Quaid']","['Sam Shepard', 'Scott Glenn', 'Ed Harris', 'Dennis Quaid']",7.8,91,63778,21.5
Kabhi Alvida Naa Kehna,2006,193,Drama,"['Karan Johar', 'Shah Rukh Khan', 'Rani Mukerji', 'Amitabh Bachchan', 'Abhishek Bachchan']","['Shah Rukh Khan', 'Rani Mukerji', 'Amitabh Bachchan', 'Abhishek Bachchan']",6,,20968,3.28
Veer-Zaara,2004,192,Drama,"['Yash Chopra', 'Shah Rukh Khan', 'Preity G Zinta', 'Rani Mukerji', 'Kirron Kher']","['Shah Rukh Khan', 'Preity G Zinta', 'Rani Mukerji', 'Kirron Kher']",7.8,67,55296,2.92
Avatar: The Way of Water,2022,192,Action,"['James Cameron', 'Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver', 'Stephen Lang']","['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver', 'Stephen Lang']",7.6,67,445177,659.68
Maine Pyar Kiya,1989,192,Drama,"['Sooraj R. Barjatya', 'Salman Khan', 'Bhagyashree Patwardhan', 'Alok Nath', 'Rajeev Verma']","['Salman Khan', 'Bhagyashree Patwardhan', 'Alok Nath', 'Rajeev Verma']",7.3,,12780,
Nixon,1995,192,Biography,"['Oliver Stone', 'Anthony Hopkins', 'Joan Allen', 'Powers Boothe', 'Ed Harris']","['Anthony Hopkins', 'Joan Allen', 'Powers Boothe', 'Ed Harris']",7.1,66,32029,13.56
Cleopatra,1963,192,Biography,"['Joseph L. Mankiewicz', 'Elizabeth Taylor', 'Richard Burton', 'Rex Harrison', 'Pamela Brown']","['Elizabeth Taylor', 'Richard Burton', 'Rex Harrison', 'Pamela Brown']",7,60,35966,57.78
Gandhi,1982,191,Biography,"['Richard Attenborough', 'Ben Kingsley', 'John Gielgud', 'Rohini Hattangadi', 'Roshan Seth']","['Ben Kingsley', 'John Gielgud', 'Rohini Hattangadi', 'Roshan Seth']",8,79,237009,52.77
Grindhouse,2007,191,Action,"['Robert Rodriguez', 'Eli Roth', 'Quentin Tarantino', 'Edgar Wright', 'Rob Zombie', 'Kurt Russell', 'Rose McGowan', 'Danny Trejo', 'Zoë Bell']","['Eli Roth', 'Quentin Tarantino', 'Edgar Wright', 'Rob Zombie', 'Kurt Russell', 'Rose McGowan', 'Danny Trejo', 'Zoë Bell']",7.5,77,188158,25.04
Pardes,1997,191,Drama,"['Subhash Ghai', 'Shah Rukh Khan', 'Mahima Chaudhry', 'Amrish Puri', 'Apurva Agnihotri']","['Shah Rukh Khan', 'Mahima Chaudhry', 'Amrish Puri', 'Apurva Agnihotri']",6.9,,15468,
Wyatt Earp,1994,191,Action,"['Lawrence Kasdan', 'Kevin Costner', 'Dennis Quaid', 'Gene Hackman', 'David Andrews']","['Kevin Costner', 'Dennis Quaid', 'Gene Hackman', 'David Andrews']",6.7,47,53427,25.05
The Green Mile,1999,189,Crime,"['Frank Darabont', 'Tom Hanks', 'Michael Clarke Duncan', 'David Morse', 'Bonnie Hunt']","['Tom Hanks', 'Michael Clarke Duncan', 'David Morse', 'Bonnie Hunt']",8.6,61,1351498,136.8
Children of Paradise,1945,189,Drama,"['Marcel Carné', 'Arletty', 'Jean-Louis Barrault', 'Pierre Brasseur', 'Pierre Renoir']","['Arletty', 'Jean-Louis Barrault', 'Pierre Brasseur', 'Pierre Renoir']",8.3,96,20643,
Swades,2004,189,Drama,"['Ashutosh Gowariker', 'Shah Rukh Khan', 'Gayatri Joshi', 'Kishori Ballal', 'Smith Seth']","['Shah Rukh Khan', 'Gayatri Joshi', 'Kishori Ballal', 'Smith Seth']",8.2,,94332,1.22
JFK,1991,189,Drama,"['Oliver Stone', 'Kevin Costner', 'Gary Oldman', 'Jack Lemmon', 'Walter Matthau']","['Kevin Costner', 'Gary Oldman', 'Jack Lemmon', 'Walter Matthau']",8,72,163888,70.41
Never Look Away,2018,189,Biography,"['Florian Henckel von Donnersmarck', 'Tom Schilling', 'Sebastian Koch', 'Paula Beer', 'Saskia Rosendahl']","['Tom Schilling', 'Sebastian Koch', 'Paula Beer', 'Saskia Rosendahl']",7.7,68,23788,1.3
Babylon,2022,189,Comedy,"['Damien Chazelle', 'Brad Pitt', 'Margot Robbie', 'Jean Smart', 'Olivia Wilde']","['Brad Pitt', 'Margot Robbie', 'Jean Smart', 'Olivia Wilde']",7.2,60,135645,
Fanny and Alexander,1982,188,Drama,"['Ingmar Bergman', 'Bertil Guve', 'Pernilla Allwin', 'Kristina Adolphson', 'Börje Ahlstedt']","['Bertil Guve', 'Pernilla Allwin', 'Kristina Adolphson', 'Börje Ahlstedt']",8.1,100,65798,4.97
Magnolia,1999,188,Drama,"['Paul Thomas Anderson', 'Tom Cruise', 'Jason Robards', 'Julianne Moore', 'Philip Seymour Hoffman']","['Tom Cruise', 'Jason Robards', 'Julianne Moore', 'Philip Seymour Hoffman']",8,78,321383,22.46
The Wild Pear Tree,2018,188,Drama,"['Nuri Bilge Ceylan', 'Dogu Demirkol', 'Murat Cemcir', 'Bennu Yildirimlar', 'Hazar Ergüçlü']","['Dogu Demirkol', 'Murat Cemcir', 'Bennu Yildirimlar', 'Hazar Ergüçlü']",8,86,26028,0.03
Short Cuts,1993,188,Comedy,"['Robert Altman', 'Andie MacDowell', 'Julianne Moore', 'Tim Robbins', 'Bruce Davison']","['Andie MacDowell', 'Julianne Moore', 'Tim Robbins', 'Bruce Davison']",7.7,81,46402,6.11
Nanban,2012,188,Comedy,"['S. Shankar', 'Joseph Vijay', 'Jiiva', 'Srikanth', ""Ileana D'Cruz""]","['Joseph Vijay', 'Jiiva', 'Srikanth', ""Ileana D'Cruz""]",7.7,,16101,
Sivaji,2007,188,Action,"['S. Shankar', 'Rajinikanth', 'Shriya Saran', 'Suman', 'Vivek']","['Rajinikanth', 'Shriya Saran', 'Suman', 'Vivek']",7.5,,20757,
Hum Dil De Chuke Sanam,1999,188,Comedy,"['Sanjay Leela Bhansali', 'Aishwarya Rai Bachchan', 'Salman Khan', 'Ajay Devgn', 'Zohra Sehgal']","['Aishwarya Rai Bachchan', 'Salman Khan', 'Ajay Devgn', 'Zohra Sehgal']",7.4,,19309,
I,2015,188,Action,"['S. Shankar', 'Vikram', 'Amy Jackson', 'Suresh Gopi', 'Upen Patel']","['Vikram', 'Amy Jackson', 'Suresh Gopi', 'Upen Patel']",7.4,,22602,
Dasavatharam,2008,188,Action,"['K.S. Ravikumar', 'Kamal Haasan', 'Asin Thottumkal', 'Jaya Prada', 'Mallika Sherawat']","['Kamal Haasan', 'Asin Thottumkal', 'Jaya Prada', 'Mallika Sherawat']",7.2,,10247,
RRR,2022,187,Action,"['S.S. Rajamouli', 'N.T. Rama Rao Jr.', 'Ram Charan', 'Ajay Devgn', 'Alia Bhatt']","['N.T. Rama Rao Jr.', 'Ram Charan', 'Ajay Devgn', 'Alia Bhatt']",7.8,83,154618,14.5
Nayak: The Real Hero,2001,187,Action,"['S. Shankar', 'Anil Kapoor', 'Rani Mukerji', 'Amrish Puri', 'Paresh Rawal']","['Anil Kapoor', 'Rani Mukerji', 'Amrish Puri', 'Paresh Rawal']",7.8,,17255,
King Kong,2005,187,Action,"['Peter Jackson', 'Naomi Watts', 'Jack Black', 'Adrien Brody', 'Thomas Kretschmann']","['Naomi Watts', 'Jack Black', 'Adrien Brody', 'Thomas Kretschmann']",7.2,81,436305,218.08
Bhaag Milkha Bhaag,2013,186,Biography,"['Rakeysh Omprakash Mehra', 'Farhan Akhtar', 'Japtej Singh', 'Divya Dutta', 'Deepak Rawat']","['Farhan Akhtar', 'Japtej Singh', 'Divya Dutta', 'Deepak Rawat']",8.2,,70304,1.63
The Leopard,1963,186,Drama,"['Luchino Visconti', 'Burt Lancaster', 'Alain Delon', 'Claudia Cardinale', 'Paolo Stoppa']","['Burt Lancaster', 'Alain Delon', 'Claudia Cardinale', 'Paolo Stoppa']",8,100,27633,
Kal Ho Naa Ho,2003,186,Comedy,"['Nikkhil Advani', 'Preity G Zinta', 'Shah Rukh Khan', 'Saif Ali Khan', 'Jaya Bachchan']","['Preity G Zinta', 'Shah Rukh Khan', 'Saif Ali Khan', 'Jaya Bachchan']",7.9,54,72474,1.79
Hey Ram,2000,186,Crime,"['Kamal Haasan', 'Kamal Haasan', 'Shah Rukh Khan', 'Rani Mukerji', 'Hema Malini']","['Kamal Haasan', 'Shah Rukh Khan', 'Rani Mukerji', 'Hema Malini']",7.9,,13525,0.27
Lakshya,2004,186,Action,"['Farhan Akhtar', 'Hrithik Roshan', 'Preity G Zinta', 'Amitabh Bachchan', 'Om Puri']","['Hrithik Roshan', 'Preity G Zinta', 'Amitabh Bachchan', 'Om Puri']",7.8,,24442,0.75
Tess,1979,186,Drama,"['Roman Polanski', 'Nastassja Kinski', 'Peter Firth', 'Leigh Lawson', 'John Collin']","['Nastassja Kinski', 'Peter Firth', 'Leigh Lawson', 'John Collin']",7.3,82,17601,
Ghajini,2008,186,Action,"['A.R. Murugadoss', 'Aamir Khan', 'Asin Thottumkal', 'Jiah Khan', 'Aamir Naik']","['Aamir Khan', 'Asin Thottumkal', 'Jiah Khan', 'Aamir Naik']",7.3,,64859,2.43
Velayudham,2011,186,Action,"['Mohan Raja', 'Joseph Vijay', 'Genelia Deshmukh', 'Hansika Motwani', 'Saranya Mohan']","['Joseph Vijay', 'Genelia Deshmukh', 'Hansika Motwani', 'Saranya Mohan']",6.1,,12424,
Red Beard,1965,185,Drama,"['Akira Kurosawa', 'Toshirô Mifune', 'Yûzô Kayama', 'Tsutomu Yamazaki', 'Reiko Dan']","['Toshirô Mifune', 'Yûzô Kayama', 'Tsutomu Yamazaki', 'Reiko Dan']",8.3,90,20259,
Barry Lyndon,1975,185,Adventure,"['Stanley Kubrick', ""Ryan O'Neal"", 'Marisa Berenson', 'Patrick Magee', 'Hardy Krüger']","[""Ryan O'Neal"", 'Marisa Berenson', 'Patrick Magee', 'Hardy Krüger']",8.1,89,175827,
Indian,1996,185,Action,"['S. Shankar', 'Kamal Haasan', 'Sukanya', 'Manisha Koirala', 'Urmila Matondkar']","['Kamal Haasan', 'Sukanya', 'Manisha Koirala', 'Urmila Matondkar']",8.1,,13273,
Devdas,2002,185,Drama,"['Sanjay Leela Bhansali', 'Shah Rukh Khan', 'Aishwarya Rai Bachchan', 'Madhuri Dixit', 'Jackie Shroff']","['Shah Rukh Khan', 'Aishwarya Rai Bachchan', 'Madhuri Dixit', 'Jackie Shroff']",7.5,,44561,3.5
Jilla,2014,185,Action,"['R.T. Neason', 'Mohanlal', 'Joseph Vijay', 'Kajal Aggarwal', 'Sampath Raj']","['Mohanlal', 'Joseph Vijay', 'Kajal Aggarwal', 'Sampath Raj']",6.2,,13390,0.23
M.S. Dhoni: The Untold Story,2016,184,Biography,"['Mathur Goswami', 'Neeraj Pandey', 'Sushant Singh Rajput', 'Kiara Advani', 'Anupam Kher', 'Disha Patani']","['Neeraj Pandey', 'Sushant Singh Rajput', 'Kiara Advani', 'Anupam Kher', 'Disha Patani']",8,,64273,1.78
The Deer Hunter,1978,183,Drama,"['Michael Cimino', 'Robert De Niro', 'Christopher Walken', 'John Cazale', 'John Savage']","['Robert De Niro', 'Christopher Walken', 'John Cazale', 'John Savage']",8.1,86,349509,48.98
Dil Chahta Hai,2001,183,Comedy,"['Farhan Akhtar', 'Aamir Khan', 'Saif Ali Khan', 'Akshaye Khanna', 'Preity G Zinta']","['Aamir Khan', 'Saif Ali Khan', 'Akshaye Khanna', 'Preity G Zinta']",8.1,,74248,0.3
Kwaidan,1964,183,Drama,"['Masaki Kobayashi', 'Rentarô Mikuni', 'Michiyo Aratama', 'Misako Watanabe', 'Kenjirô Ishiyama']","['Rentarô Mikuni', 'Michiyo Aratama', 'Misako Watanabe', 'Kenjirô Ishiyama']",7.9,,18965,
Pearl Harbor,2001,183,Action,"['Michael Bay', 'Ben Affleck', 'Kate Beckinsale', 'Josh Hartnett', 'William Lee Scott']","['Ben Affleck', 'Kate Beckinsale', 'Josh Hartnett', 'William Lee Scott']",6.2,44,343566,198.54
Arjun Reddy,2017,182,Action,"['Sandeep Reddy Vanga', 'Vijay Deverakonda', 'Shalini Pandey', 'Jia Sharma', 'Kanchana']","['Vijay Deverakonda', 'Shalini Pandey', 'Jia Sharma', 'Kanchana']",8,,26501,
The Sand Pebbles,1966,182,Adventure,"['Robert Wise', 'Steve McQueen', 'Richard Attenborough', 'Richard Crenna', 'Candice Bergen']","['Steve McQueen', 'Richard Attenborough', 'Richard Crenna', 'Candice Bergen']",7.5,,15829,
Batman v Superman: Dawn of Justice (Ultimate Edition),2016,182,Action,"['Zack Snyder', 'Amy Adams', 'Ben Affleck', 'Henry Cavill', 'Jesse Eisenberg']","['Amy Adams', 'Ben Affleck', 'Henry Cavill', 'Jesse Eisenberg']",7.2,,73227,
El Cid,1961,182,Biography,"['Anthony Mann', 'Charlton Heston', 'Sophia Loren', 'Raf Vallone', 'Geneviève Page']","['Charlton Heston', 'Sophia Loren', 'Raf Vallone', 'Geneviève Page']",7.2,79,15142,26.62
Main Hoon Na,2004,182,Action,"['Farah Khan', 'Shah Rukh Khan', 'Sushmita Sen', 'Suniel Shetty', 'Zayed Khan']","['Shah Rukh Khan', 'Sushmita Sen', 'Suniel Shetty', 'Zayed Khan']",7,,38165,1.72
Avengers: Endgame,2019,181,Action,"['Anthony Russo', 'Joe Russo', 'Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']","['Joe Russo', 'Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']",8.4,78,1202898,858.37
Anniyan,2005,181,Action,"['S. Shankar', 'Vikram', 'Sada', 'Prakash Raj', 'Vivek']","['Vikram', 'Sada', 'Prakash Raj', 'Vivek']",8.3,,19949,
Dances with Wolves,1990,181,Adventure,"['Kevin Costner', 'Kevin Costner', 'Mary McDonnell', 'Graham Greene', 'Rodney A. Grant']","['Kevin Costner', 'Mary McDonnell', 'Graham Greene', 'Rodney A. Grant']",8,72,279760,184.21
Fiddler on the Roof,1971,181,Drama,"['Norman Jewison', 'Topol', 'Norma Crane', 'Leonard Frey', 'Molly Picon']","['Topol', 'Norma Crane', 'Leonard Frey', 'Molly Picon']",8,67,45885,80.5
Dilwale Dulhania Le Jayenge,1995,181,Drama,"['Aditya Chopra', 'Shah Rukh Khan', 'Kajol', 'Amrish Puri', 'Farida Jalal']","['Shah Rukh Khan', 'Kajol', 'Amrish Puri', 'Farida Jalal']",8,,73660,
Sunshine,1999,181,Drama,"['István Szabó', 'Ralph Fiennes', 'Rosemary Harris', 'Rachel Weisz', 'Jennifer Ehle']","['Ralph Fiennes', 'Rosemary Harris', 'Rachel Weisz', 'Jennifer Ehle']",7.5,71,15562,5.1
Baghban,2003,181,Drama,"['Ravi Chopra', 'Amitabh Bachchan', 'Hema Malini', 'Salman Khan', 'Mahima Chaudhry']","['Amitabh Bachchan', 'Hema Malini', 'Salman Khan', 'Mahima Chaudhry']",7.4,,17058,1.1
Oppenheimer,2023,180,Biography,"['Christopher Nolan', 'Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.']","['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.']",8.6,88,310123,
The Wolf of Wall Street,2013,180,Biography,"['Martin Scorsese', 'Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie', 'Matthew McConaughey']","['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie', 'Matthew McConaughey']",8.2,75,1490688,116.9
Bound by Honor,1993,180,Crime,"['Taylor Hackford', 'Damian Chapa', 'Jesse Borrego', 'Benjamin Bratt', 'Enrique Castillo']","['Damian Chapa', 'Jesse Borrego', 'Benjamin Bratt', 'Enrique Castillo']",7.9,47,32952,4.5
Blue Is the Warmest Colour,2013,180,Drama,"['Abdellatif Kechiche', 'Léa Seydoux', 'Adèle Exarchopoulos', 'Salim Kechiouche', 'Aurélien Recoing']","['Léa Seydoux', 'Adèle Exarchopoulos', 'Salim Kechiouche', 'Aurélien Recoing']",7.7,90,158447,2.2
The Barber of Siberia,1998,180,Comedy,"['Nikita Mikhalkov', 'Julia Ormond', 'Oleg Menshikov', 'Aleksey Petrenko', 'Richard Harris']","['Julia Ormond', 'Oleg Menshikov', 'Aleksey Petrenko', 'Richard Harris']",7.7,,12491,
The Diary of Anne Frank,1959,180,Biography,"['George Stevens', 'Millie Perkins', 'Shelley Winters', 'Joseph Schildkraut', 'Richard Beymer']","['Millie Perkins', 'Shelley Winters', 'Joseph Schildkraut', 'Richard Beymer']",7.4,59,13310,5.01
