title,year,runtime,genre,director,stars,rating,metascore,votes,gross
Open Grave,2013,102,Horror,"['Gonzalo López-Gallego', 'Sharlto Copley', 'Thomas Kretschmann', 'Josie Ho', 'Joseph Morgan']","['Sharlto Copley', 'Thomas Kretschmann', 'Josie Ho', 'Joseph Morgan']",6.2,33,30759,
The Coldest Game,2019,102,History,"['Lukasz Kosmicki', 'Bill Pullman', 'Lotte Verbeek', 'James Bloor', 'Robert Wieckiewicz']","['Bill Pullman', 'Lotte Verbeek', 'James Bloor', 'Robert Wieckiewicz']",6.2,,11902,
HouseSitter,1992,102,Comedy,"['Frank Oz', 'Steve Martin', 'Goldie Hawn', 'Dana Delany', 'Julie Harris']","['Steve Martin', 'Goldie Hawn', 'Dana Delany', 'Julie Harris']",6.2,52,26128,58.5
Three Men and a Baby,1987,102,Comedy,"['Leonard Nimoy', 'Tom Selleck', 'Steve Guttenberg', 'Ted Danson', 'Nancy Travis']","['Tom Selleck', 'Steve Guttenberg', 'Ted Danson', 'Nancy Travis']",6.1,61,56144,167.78
Dora and the Lost City of Gold,2019,102,Action,"['James Bobin', 'Isabela Merced', 'Eugenio Derbez', 'Michael Peña', 'Eva Longoria']","['Isabela Merced', 'Eugenio Derbez', 'Michael Peña', 'Eva Longoria']",6.1,63,32698,60.48
Level 16,2018,102,Drama,"['Danishka Esterhazy', 'Katie Douglas', 'Celina Martin', 'Sara Canning', 'Peter Outerbridge']","['Katie Douglas', 'Celina Martin', 'Sara Canning', 'Peter Outerbridge']",6.1,46,14566,
Universal Soldier,1992,102,Action,"['Roland Emmerich', 'Jean-Claude Van Damme', 'Dolph Lundgren', 'Ally Walker', ""Ed O'Ross""]","['Jean-Claude Van Damme', 'Dolph Lundgren', 'Ally Walker', ""Ed O'Ross""]",6.1,35,93542,36.3
Bug,2006,102,Drama,"['William Friedkin', 'Ashley Judd', 'Michael Shannon', 'Harry Connick Jr.', 'Lynn Collins']","['Ashley Judd', 'Michael Shannon', 'Harry Connick Jr.', 'Lynn Collins']",6.1,62,36552,7.01
The Philadelphia Experiment,1984,102,Adventure,"['Stewart Raffill', 'Michael Paré', 'Nancy Allen', 'Eric Christmas', 'Bobby Di Cicco']","['Michael Paré', 'Nancy Allen', 'Eric Christmas', 'Bobby Di Cicco']",6.1,44,16223,8.1
The Invisible,2007,102,Crime,"['David S. Goyer', 'Justin Chatwin', 'Margarita Levieva', 'Marcia Gay Harden', 'Christopher Marquette']","['Justin Chatwin', 'Margarita Levieva', 'Marcia Gay Harden', 'Christopher Marquette']",6.1,36,36156,20.57
Grown Ups,2010,102,Comedy,"['Dennis Dugan', 'Adam Sandler', 'Salma Hayek', 'Kevin James', 'Chris Rock']","['Adam Sandler', 'Salma Hayek', 'Kevin James', 'Chris Rock']",5.9,30,263666,162
Dirty Grandpa,2016,102,Comedy,"['Dan Mazer', 'Robert De Niro', 'Zac Efron', 'Zoey Deutch', 'Aubrey Plaza']","['Robert De Niro', 'Zac Efron', 'Zoey Deutch', 'Aubrey Plaza']",5.9,21,129498,35.59
Six Days Seven Nights,1998,102,Action,"['Ivan Reitman', 'Harrison Ford', 'Anne Heche', 'David Schwimmer', 'Jacqueline Obradors']","['Harrison Ford', 'Anne Heche', 'David Schwimmer', 'Jacqueline Obradors']",5.9,51,81202,74.33
Joe Versus the Volcano,1990,102,Comedy,"['John Patrick Shanley', 'Tom Hanks', 'Meg Ryan', 'Lloyd Bridges', 'Robert Stack']","['Tom Hanks', 'Meg Ryan', 'Lloyd Bridges', 'Robert Stack']",5.9,45,38926,39.4
Ride Along 2,2016,102,Action,"['Tim Story', 'Ice Cube', 'Kevin Hart', 'Tika Sumpter', 'Benjamin Bratt']","['Ice Cube', 'Kevin Hart', 'Tika Sumpter', 'Benjamin Bratt']",5.9,32,61401,91.22
Mickey Blue Eyes,1999,102,Comedy,"['Kelly Makin', 'Carl Gottlieb', 'Hugh Grant', 'Jeanne Tripplehorn', 'James Caan', 'Burt Young']","['Carl Gottlieb', 'Hugh Grant', 'Jeanne Tripplehorn', 'James Caan', 'Burt Young']",5.9,49,37690,33.86
Kuffs,1992,102,Action,"['Bruce A. Evans', 'Christian Slater', 'Milla Jovovich', 'Ric Roman Waugh', 'Steve Holladay']","['Christian Slater', 'Milla Jovovich', 'Ric Roman Waugh', 'Steve Holladay']",5.9,,11269,21.14
Skyscraper,2018,102,Action,"['Rawson Marshall Thurber', 'Dwayne Johnson', 'Neve Campbell', 'Chin Han', 'Roland Møller']","['Dwayne Johnson', 'Neve Campbell', 'Chin Han', 'Roland Møller']",5.8,51,128930,68.42
Rambo III,1988,102,Action,"['Peter MacDonald', 'Sylvester Stallone', 'Richard Crenna', 'Marc de Jonge', 'Kurtwood Smith']","['Sylvester Stallone', 'Richard Crenna', 'Marc de Jonge', 'Kurtwood Smith']",5.8,36,136510,53.72
Striking Distance,1993,102,Action,"['Rowdy Herrington', 'Bruce Willis', 'Sarah Jessica Parker', 'Dennis Farina', 'Tom Sizemore']","['Bruce Willis', 'Sarah Jessica Parker', 'Dennis Farina', 'Tom Sizemore']",5.8,36,44493,23.8
Kin,2018,102,Action,"['Jonathan Baker', 'Josh Baker', 'Myles Truitt', 'Jack Reynor', 'Dennis Quaid', 'Zoë Kravitz']","['Josh Baker', 'Myles Truitt', 'Jack Reynor', 'Dennis Quaid', 'Zoë Kravitz']",5.8,35,18033,5.72
Blue Steel,1990,102,Action,"['Kathryn Bigelow', 'Jamie Lee Curtis', 'Ron Silver', 'Clancy Brown', 'Elizabeth Peña']","['Jamie Lee Curtis', 'Ron Silver', 'Clancy Brown', 'Elizabeth Peña']",5.8,54,16827,8.22
The Toy,1982,102,Comedy,"['Richard Donner', 'Richard Pryor', 'Jackie Gleason', 'Ned Beatty', 'Scott Schwartz']","['Richard Pryor', 'Jackie Gleason', 'Ned Beatty', 'Scott Schwartz']",5.8,16,14214,47.12
